product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
[kulit berjerawat] skintific aqua sunscreen light daily sunscreen spf 35 pa+++ 30g/50g| skincare sunscreen skin true to skin tinted sunscreen aqua sunblock sunblock badan sun stick glowing barrier anti-aging brightening whitening mencerahkan wajah,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,133898.0,79000.0,41,10,4.9
【video】skintific outdoor sunscreen spray spf50 pa++++ sunscreen mist anti uv uva uvb 250ml facial,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,239655.0,139000.0,42,100,4.9
【campaign】skintific sunscreen 30ml aqua light daily sunscreen  spf35 pa+++/5x ceramide serum sunscreen spf50 pa++++/matte fit serum sunscreen spf50+ pa++++/light serum sunscreen spf50 pa ++++ 25ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,125316.0,99000.0,21,7,4.9
skintific all day light sunscreen mist spf50 pa++++ 70ml/120ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,189796.0,93000.0,51,4,4.9
skintific sunscreen collection 50 ml / 5x ceramide serum sunscreen spf 50 pa++++ / aqua light sunscreen spf 35 pa++++ / matte fit serum sunscreen spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,168919.0,125000.0,26,8,4.9
skintific outdoor sunscreen spray spf50 pa++++ sunscreen mist anti uv uva uvb 250ml facial,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,239655.0,139000.0,42,3,4.9
skintific 3pcs skincare set serum + moisturizer + sunscreen / anti dark spot set / retinol set / peeling set / glowing set / acne set / repair barrier set,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,454412.0,309000.0,32,1,4.9
skintific sunscreen 30ml aqua light daily sunscreen  spf35 pa+++/5x ceramide serum sunscreen spf50 pa++++/matte fit serum sunscreen spf50+ pa++++/light serum sunscreen spf50 pa ++++ 25ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,125316.0,99000.0,21,10,4.9
"[new] [kulit kusam] skintific bright fit serum sunscreen spf50 pa++++ |  instant tone up & brightening,  hybrid sunscreen 3-in-1: serum & moistens & sunscreen, lightweight & watery texture",Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,198000.0,99000.0,50,8,4.9
skintific paket 4pcs set moisturizer +serum + cleanser + sunscreen bundle: glowing set / acne set /repair barrier set / anti dark spot set / hydrating set/soothing skin set,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,692857.0,388000.0,44,10,4.9
【video】[new] skintific  matte fit serum sunscreen 30g/50g spf50+ pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,302778.0,109000.0,64,100,4.9
【top creator】 skintific matte fit serum sunscreen 30g/50g spf50+ pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,302778.0,109000.0,64,100,4.9
